Electoral District	nElections	nMatches	pMatches
Kandy	8	8	1.0
Nuwara-Eliya	8	8	1.0
Puttalam	8	8	1.0
Anuradhapura	8	8	1.0
Kurunegala	7	7	1.0
Gampaha	8	7	0.875
Matale	8	7	0.875
Digamadulla	8	7	0.875
Polonnaruwa	8	7	0.875
Moneragala	8	7	0.875
Ratnapura	8	7	0.875
Kegalle	8	7	0.875
Badulla	7	6	0.8571428571428571
Colombo	8	6	0.75
Kalutara	8	6	0.75
Galle	8	6	0.75
Matara	8	6	0.75
Hambantota	8	6	0.75
Trincomalee	8	6	0.75
Vanni	7	4	0.5714285714285714
Batticaloa	8	4	0.5
Jaffna	7	3	0.42857142857142855
